"Click to View More","Agency","Program","Data Category","Data Element Name","Data Element Definition","Data Type","Years Available"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Finance","SpEdInstrSupplies","Instructional supplies expenditures for special education reported by ED001.","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Finance","SpEdNonCertifiedStaff","Noncertified personnel expenditures for special education reported by ED001.","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Finance","SpEdOtherSupplAndMat","Other supplies and materials expenditures for special education reported by ED001.","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Finance","SpEdPropertyServices","Property services expenditures for special education reported by ED001.","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Finance","SpEdPurchasedServices","Purchased services expenditures for special education reported by ED001.","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Finance","SpEdTotal","Total expenditures for special education reported by ED001.","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Finance","SpEdTransportation","Transportation expenditures for special education reported by ED001.","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Finance","SpEdTutition","Tuition expenditures for special education reported by ED001.","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Finance","StudentSupportServices","Student Support Services.  From STUD_R in ED001 finance summary file.","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Finance","StudentTuitionedOut","Cost for Students Tuitioned Out.  From EXP_TUP1 in ED001 summary finance file.","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Finance","TotalExpNoTuition","Total of all expeses less Tution.  From TOTAL_R in ED001 finance summary file.","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Finance","TotalStudentsTuitionedOut","Total cost for students tuitioned out; Related to EXP_TUP1 (StudentTuitionedOut).  From TOTALB_R in ED001 finance summary file.","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Finance","Transportation","Transportation.  From EXP_TRA1 in ED001 finance summary file.","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Finance","Tution","Tuition Costs.  From EXP_TUPA in ED001 finance summary file.","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","General","MetricCategory","Column used to group like types of metrics together in reporting results.","varchar(60)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","General","MetricCode","A short version of the metric name, required to be unique across the table rows.","varchar(50)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","General","MetricDataType","The target rerport column data type, used by report or ETL code to tranlate to the correct final physical data type.","varchar(20)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","General","MetricDesc","A lengthy and full textual decription of the Metric, as appropriate or needed.","varchar(250)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","General","MetricName","Long user and report-friendly name of the MetricCode item being measured.","varchar(80)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","General","MetricValueChar","Character value of the metric.","varchar(20)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","General","MetricValueFloat","Numeric value of the metric.","float","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","General","MetricValueInt","Integer value of the metric.","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Graduation","BaseYrGradPct","Base year upon which annual graduation targets are determined.","decimal(4,1)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Graduation","Category","Student group (Gender, Race, Ethnicity, EL, etc.)","varchar(30)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Graduation","CertCnt","Number of students graduated with a certificate.","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Graduation","CertPct","Percent of students graduated with a certificate.","decimal(4,1)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Graduation","CohortCnt","Number of students in the grad cohort","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Graduation","EnrolledCnt","Count of students still enrolled.","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Graduation","EnrolledPct","Percent of students who were still enrolled.","decimal(4,1)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Graduation","GradCnt","Number of students who graduated","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Graduation","GradeLevelCode","A code or abbreviation for the type.","char(3)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Graduation","GradeLevelName","Grade levels offered by educational institutions. [CEDS Elements: Assessment Registration Grade Level When Assessed (	001057), Entry Grade Level (000100), Exit Grade Level (001210), Grade Level When Assessed (000126), Grade Level When Course Taken (000125)]","varchar(50)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Graduation","GradPct","Percentage of cohort student who graduated.","decimal(4,1)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Graduation","GradRateType","Description of whether the measure is 4-yr, 5-yr or 6-yr graduation rate","varchar(12)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Graduation","OtherCnt","Number of students not graduated, not still enrolled or not graduated with a certificate.","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Graduation","OtherPct","Percentage of students not graduated, not still enrolled or not graduated with a certificate.","decimal(4,1)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Graduation","TargetGradPct","Established graduation target rate by student group.","decimal(4,1)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Graduation","TargetYear","Year for which the graduation target is determined.","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Non-Public Schools","EnglishLanguageLearnerCnt","Non-Public English Learner Count","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Non-Public Schools","FullTimeAdministratorCnt","Non-Public Full-Time Administrator Count","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Non-Public Schools","FullTimeStaffCnt","Non-Public Full-Time Staff Count","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Non-Public Schools","FullTimeTeacherCnt","Non-Public Full-Time Teacher Count","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Non-Public Schools","GraduateCnt","Non-Public Graduates Count","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Non-Public Schools","PartTimeAdministratorCnt","Non-Public Part-Time Administrator Count","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Non-Public Schools","PartTimeStaffCnt","Non-Public Part-Time Staff Count","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Non-Public Schools","PartTimeTeacherCnt","Non-Public Part-Time Teacher Count","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Non-Public Schools","StudentCount","Non-Public Student Count","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","NSC College Enrollment","COLLEGE_SEQUENCE","Sequence of college attendance","Numeric","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","NSC College Enrollment","HSgraduation date","Date student graduated from HS","date","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","NSC College Enrollment","NSC_CollegeDegreeTitle","If available, the title of the degree the student received as provided by the reporting college
(from NSC file).","character","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","NSC College Enrollment","NSC_CollegeGraduationDate","Date of student's graduation or degree achievement as provided by the reporting college.
YYYYMMDD; from NSC file","date","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","NSC College Enrollment","NSC_CollegeMajorTitle","College major at graduation","date","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","NSC College Enrollment","NSC_CollegePublicPrivate","Indicates whether the college that the student attended is a ""Public"" or Private"" institution.","character","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","NSC College Enrollment","NSC_CollegeState","State in which the college is located","character","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","NSC College Enrollment","NSC_Enrollment_BeginDate","Begin date for the student’s period of attendance.
YYYYMMDD","date","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","NSC College Enrollment","NSC_Enrollment_EndDate","End date for the student’s period of attendance.
YYYYMMDD","date","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","NSC College Enrollment","NSC_EnrollmentStatus","Full-time, Half-time, Less than half-time, Leave of absence, Withdrawn, Deceased","character","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","NSC College Enrollment","NSC_Institution_Level","Type of college that the student attended:
4 = 4-year or higher institution; 2 = 2-year institution; L = less than 2-year institution","character","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","NSC College Enrollment","NSC_IsCollegeGraduated","Graduation status information available from the reporting college in NSC Student Tracker file.","character","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","NSC College Enrollment","NSC_IsFound","NSC Detail report does or DOES NOT contain student's college record","character","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","AdultEdPrograms","A listing of the adult education programs offered.  (comma separated list): Citizenship,English as a Second Language (ESL),Basic Academic (ABE),GED,Adult High School Diploma,National External Diploma,Other","varchar(50)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","AdultEdProvidersType","Type of adult education provider, including NON-LEA Providers, LEA Providers, and CEE.","varchar(30)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","AdultEdServiceAreaNumber","Numeric value that identifies the adult education provider service area.","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","CharterSchoolIndicator","A school or agency providing free public elementary or secondary education to eligible students under a specific charter granted by the state legislature or other appropriate authority and designated by such authority to be a charter school. [CEDS Element: Charter School Indicator, ID:000039]","bit","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","CharterSchoolType","The category of charter school. [CEDS Element: Charter School Type, ID:000710]","varchar(100)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","CloseDate","The date the organization was physically closed.","datetime","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","CollegeBoardId","The associated college board ID value assigned to the organization.","varchar(20)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","CSDESystemCloseDate","Date SDE Organization Manager or SDE Administrator approves Organization close or closes an Org.","datetime","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","CSDESystemOpenDate","Date SDE Organization Manager or SDE Administrator approves Organization open or opens an Org.","datetime","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","DistrictCode","A short version of the organization name.","varchar(10)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","DistrictGroupName","Numeric ID that tells whether an organization is Public or Private.","varchar(30)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","DistrictName","The name of a non-person entity for LEA (District).  [CEDS Elements: Organization Name (000204), Name of Institution (000191), Program Name (000626), Responsible Organization Name (000631)]","varchar(120)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","DistrictName","The name of a non-person entity such as an organization, institution, agency, business, or program. [CEDS Elements: Organization Name (000204), Name of Institution (000191), Program Name (000626), Responsible Organization Name (000631)]","varchar(120)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","DistrictNumber","A numeric representation of the district code.","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","DRGCode","Connecticut District Reference Groups (formerly Educational Reference Groups) used to group districts by socio-economic and other factors.","char(1)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","EffectiveEndDate","The date that this version of the organization record ends.","datetime","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","EffectiveStartDate","The date that this version of the organization record begins.","datetime","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","FedOperationalStatusCode","The Federal expression of the operational status for an organization.","varchar(10)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","Grade10OfferedFlag","The school offers grade 10 (tenth grade)","bit","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","Grade11OfferedFlag","The school offers grade 11 (eleventh grade)","bit","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","Grade12OfferedFlag","The school offers grade 12 (twelvth grade)","bit","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","Grade1OfferedFlag","The school offers grade 1 (first grade)","bit","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","Grade2OfferedFlag","The school offers grade 2 (second grade)","bit","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","Grade3OfferedFlag","The school offers grade 3 (third grade)","bit","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","Grade4OfferedFlag","The school offers grade 4 (fourth grade)","bit","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","Grade5OfferedFlag","The school offers grade 5 (fifth grade)","bit","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","Grade6OfferedFlag","The school offers grade 6 (sixth grade)","bit","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","Grade7OfferedFlag","The school offers grade 7 (seventh grade)","bit","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","Grade8OfferedFlag","The school offers grade 8 (eighth grade)","bit","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","Grade9OfferedFlag","The school offers grade 9 (ninth grade)","bit","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","GradeKEOfferedFlag","The school offers grade KE (kindergarten extended-day)","bit","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","GradeKFOfferedFlag","The school offers grade KF (kindergarten full-day)","bit","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","GradeKHOfferedFlag","The school offers grade KH (kindergarten half-day)","bit","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","GradePKOfferedFlag","The school offers grade PK (pre-kindergarten)","bit","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","GradesOfferedList","A comma-separated list of the grades offered by this organization.","varchar(100)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","InstitutionCode","Indication of the type of organization institution.","varchar(10)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","InterDistrictMagnetFlag","Indicates whether the school is an interdistrict magnet school.  These are schools designed to voluntarily reduce racial, ethnic and economic isolation which seek to attract students by offering a special, high-quality curriculum.","bit","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","IsCommPACTSchoolFlag","Pre-existing public schools that have been granted autonomy in governance, budgeting and cirriculum.  Stands for COMMunity, Parents, Administrators, Children and Teachers.","bit","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","IsCurrentFlag","Indidates whether this is the current record in a time series of changes to this organizaztion.","bit","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","IsDesignatedFlag","Indicates whether the school is considered designated.  Appropriate for schools where grade 9 or higher is offered.","bit","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","IsForProfitFlag","Indicates whether the school is a for-profit organization.","bit","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","IsOutOfStateFlag","Indicates whether the organization is located outside the state.","bit","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","IsPKISFlag","Indicator for PKIS Application. Appropriate for Community PreK and Non Public Elementary and Secondary Schools where Grade PK is offered.","bit","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","IsSingAccSysFlag","Indicator of whether organization is a Single Cost Accounting System (SCAS) facility.","bit","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","IsVOAGCenterFlag","Flag field indicating whether the school offers prgrams for vocational or agricultural services.","bit","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","LegalAppFlag","Indicator that tells whether a school  is approved by the Connecticut State Board of Education.","bit","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","MailCity","The name of the city in which an address is located. [CEDS Element: Address City, ID:000040]","varchar(30)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","MailPostalCode","A number that identifies each postal delivery area in the United States used as a portion of an address. [CEDS Element: Address Postal Code, ID:000214]","varchar(17)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","MailStateCode","Two-letter state code","varchar(20)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","MailStreetNumberAndName","The street number and street name or post office box number of an address for the organization mailing address. [CEDS Element: Address Street Number and Name, ID: 000269]","varchar(40)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","NarrativeText","Text of School/district narratives that appear in the Profile and Performance Reports","text","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","NarrativeText","Textual explanation, summary or description answering a particular question as denoted by the metric_id in this row.  Applies to a specific collection, school and district.  If only at the district level, the school value is 'notset'.","varchar(4000)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","NCESId","The unique identifier assigned to an LEA or school by the National Center for Education Statistics (NCES). The NCES Identifiers for LEA are 7 characters.  The first two characters are the 2–digit FIPS State Code and the last five characters are unique within the state.  The NCES Identifiers for LEAs are also known as the NCES Education Agency ID. 
The NCES identifiers for schools are 12 characters.  The first seven characters are the NCES Identifier for the LEA that the school belongs to.  The NCES Identifier for schools is also known as NCES School ID. (EdFacts - NCES Identifiers )","varchar(20)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","NCESOperationalStatusCode","The NCES expression of the operational status for an organization.","varchar(10)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","NonPublicSchoolsReporterFlag","Indicates whether the school is to be included into non-public school reporting (ED159). Appropriate for Community PreK  and all Non Public Elementary and Secondary Schools regardlesss of Non_Public_Subtype_ID.","bit","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","NonPublicSubtypeNumber","Appropriate for Non Public Elementary and Secondary Schools only. (NULL) Plain old non-public, 1 Facility is an Age Appropriate Community Based Program (AACBP, old institution code 82), 2 Facility is an Approved Private Special Education Program (APSEP, old institution code 61)","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","OpenDate","The date the organization was physically open.","datetime","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","OperationalStatusName","Organization operating status value.  [CEDS Elements: School Operational Status (000533), Local Education Agency Operational Status (000174)]","varchar(100)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","OrganizationTypeCode","Short version of the organization type name","varchar(50)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","OrganizationTypeName","The type of organizational entity","varchar(100)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","ParentDistrictCode","A short version of the district name.","varchar(10)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","ParentDistrictNumber","A numeric representation of the 3 digit district code.","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","ParentOrganizationName","Name of the district's parent organization.","varchar(120)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","ParentOrganizationType","The type of organization for the parent org.","varchar(100)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","ProgramTypeName","Text representation of the organization program type.  Valid values include 1 - Technical, 2 - Pre-Kindergarten, 3 - Alternative, 4 - Special Education, 5 - Part-time Magnet, 6 - Transition, 7 - Part-time Vocational Agriculture, 8 - Other.","varchar(50)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","ResCompNumber","Indicates whether an APSEP offers a Residential Component, and if so, what type of Residential Component.","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","SchoolCode","A short version of the school name.","varchar(10)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","SchoolGroupName","Numeric ID that tells whether an organization is Public or Private.","varchar(30)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","SchoolInstitutionCode","Indication of the type of organization institution.","varchar(10)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","SchoolName","The name of a non-person entity such as an organization, institution, agency, business, or program. [CEDS Elements: Organization Name (000204), Name of Institution (000191), Program Name (000626), Responsible Organization Name (000631)]","varchar(120)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","SchoolNumber","A numeric representation of the school code.","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","SchoolType","Classification of a school as Alternative School,Charter School, Intradistrict Magnet School, Special Education School,Technical High School,or Traditional/General Education","varchar(70)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","ShipCity","The name of the city in which an address is located. [CEDS Element: Address City, ID:000040]","varchar(30)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","ShipCountyName","The name of the county, parish, borough, or comparable unit (within a state) in which an address is located. [CEDS Element: Address County Name, ID:000190]","varchar(30)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","ShipLatitude","The north or south angular distance from the equator that, when combined with longitude, reflects an estimation of where the school is physically situated. [CEDS Element: Latitude, ID:000606]","varchar(20)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","ShipLongitude","The east or west angular distance from the prime meridian that, when combined with latitude, reflects an estimation of where the school is physically situated. [CEDS Element: Longitude, ID:000607]","varchar(20)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","ShipPostalCode","A number that identifies each postal delivery area in the United States used as a portion of an address. [CEDS Element: Address Postal Code, ID:000214]","varchar(17)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","ShipStateCode","Two-letter state code","varchar(20)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","ShipStreetNumberAndName","The street number and street name or post office box number of an address. [CEDS Element: Address Street Number and Name, ID: 000269]","varchar(40)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","StudentCloseDate","Date the organization was closed to students.","datetime","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","StudentOpenDate","Date the organization was open to students.","datetime","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","TitleIOrgFlag","Indicates whether the organization receives Title I assistance, or in the case of districts, whether there exists 1 or more schools within its purvue that receives Title I assistance.","bit","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","TitleITypeName","If the school receives Title I assistance, this field incidates the name of the type of Title I.  Possible values include 1- Targeted Assistance, 2 - Schoolwide, (blank) - not Title I / not reported.","varchar(30)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Organization","TitleName","Longer, more descriptive version of the staff title code.","nvarchar(100)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Special Education","AcademicProgram","Type of program currently in effect for this student, for post-secondary goals and services.","char(2)","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Special Education","AgeOct","Student's age on October 1st of the school year reported.","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Special Education","AgeOSEP","Age value specific to the Office of Special Education Programs (OSEP) reflects kids with age of two with a value of age three.","integer","2010 to 2021"
"&oplus;","State Department of Education (SDE)","State Longitudinal Data System (SLDS)","Special Education","ECProgramHours","The number of hours per week the child participates in an early childhood program which is not provided as a part of the IEP.","decimal(20,2)","2010 to 2021"
